iter	Passed	Remaining
0	4	969
1	32	3240
2	38	2496
3	41	2043
4	46	1818
5	50	1639
6	54	1503
7	58	1396
8	61	1310
9	62	1188
10	65	1124
11	67	1063
12	70	1010
13	72	957
14	74	915
15	76	882
16	78	849
17	81	820
18	83	792
19	85	766
20	87	743
21	89	722
22	91	703
23	93	683
24	95	666
25	97	651
26	99	635
27	101	621
28	102	607
29	104	593
30	106	580
31	108	568
32	110	557
33	112	547
34	114	537
35	115	527
36	117	518
37	119	510
38	121	502
39	123	493
40	125	485
41	127	478
42	129	471
43	131	465
44	133	458
45	134	451
46	136	445
47	138	440
48	140	434
49	143	429
50	145	424
51	147	419
52	149	414
53	151	409
54	153	404
55	155	400
56	157	395
57	160	392
58	162	388
59	164	383
60	166	379
61	168	375
62	170	371
63	172	367
64	174	363
65	177	359
66	179	356
67	181	352
68	183	348
69	185	345
70	187	341
71	190	337
72	192	335
73	195	332
74	197	328
75	199	325
76	201	322
77	203	318
78	205	314
79	207	311
80	209	308
81	211	304
82	213	301
83	216	298
84	218	295
85	221	293
86	223	290
87	227	289
88	230	286
89	232	283
90	234	280
91	236	277
92	238	274
93	240	271
94	242	268
95	244	264
96	246	262
97	248	259
98	251	256
99	253	253
100	255	250
101	258	247
102	260	245
103	262	242
104	264	239
105	266	236
106	268	233
107	269	229
108	272	227
109	274	224
110	276	221
111	278	218
112	280	216
113	282	213
114	284	210
115	287	207
116	289	205
117	291	202
118	293	199
119	294	196
120	296	193
121	298	191
122	300	188
123	302	185
124	304	182
125	306	179
126	308	177
127	309	174
128	311	171
129	313	168
130	315	166
131	317	163
132	319	160
133	321	158
134	323	155
135	325	153
136	327	150
137	329	148
138	331	145
139	334	143
140	336	140
141	338	138
142	340	135
143	342	133
144	344	130
145	346	128
146	348	125
147	350	123
148	352	120
149	354	118
150	355	115
151	357	113
152	359	110
153	361	108
154	363	105
155	365	103
156	367	100
157	369	98
158	371	95
159	373	93
160	375	90
161	376	88
162	379	86
163	381	83
164	382	81
165	384	78
166	386	76
167	388	74
168	390	71
169	392	69
170	394	66
171	396	64
172	397	62
173	399	59
174	401	57
175	403	54
176	405	52
177	407	50
178	409	48
179	412	45
180	414	43
181	416	41
182	419	38
183	421	36
184	423	34
185	425	32
186	427	29
187	429	27
188	431	25
189	433	22
190	435	20
191	438	18
192	440	15
193	441	13
194	444	11
195	446	9
196	448	6
197	450	4
198	452	2
199	454	0
